hash_inn,y
1950,14
1951,12
1955,12
1960,12
1967,12
1975,12
1979,12
1983,12
1984,12
1986,12
1994,12
1995,12
1998,12
1999,12
2009,12
2012,12
2015,12
2018,12
2021,12
2024,12
2029,12
2032,12
2033,12
2036,34
2042,12
2046,12
2048,12
2049,12
2057,12
2070,34
2071,14
2073,34
2074,12
2075,12
2077,14
2079,12
2087,12
2088,12
2089,12
2090,12
2094,12
2095,52
2097,12
2098,12
2099,12
2100,34
2106,12
2110,12
2115,18
2116,12
2120,14
2121,12
2124,12
2126,12
2128,12
2133,12
2149,12
2150,12
2156,12
2160,34
2162,12
2163,12
2165,12
2169,34
2172,30
2177,12
2184,14
2185,14
2186,52
2189,12
2192,12
2197,12
2200,12
2201,12
2205,12
2209,34
2212,34
2214,12
2215,12
2221,12
2225,12
2234,12
2235,12
2245,12
2246,12
2247,12
2258,12
2264,52
2265,12
2267,12
2271,34
2276,12
2277,12
2288,12
2289,12
2292,14
2295,12
2307,12
2308,12
2309,12
2312,12
2313,12
2316,12
2321,52
2322,12
2326,12
2327,12
2336,12
2343,11
2350,12
2353,14
2359,12
2367,12
2369,12
2371,12
2372,12
2375,12
2376,12
2377,12
2378,12
2386,14
2390,12
2393,12
2399,12
2402,12
2404,12
2414,26
2415,12
2416,12
2417,12
2421,34
2425,12
2431,12
2433,12
2435,12
2439,12
2441,12
2442,12
2444,12
2449,34
2454,14
2456,12
2458,12
2460,12
2465,12
2467,12
2471,12
2474,12
2475,12
2480,12
2485,12
2490,12
2494,12
2498,12
2500,12
2504,12
2505,12
2507,12
2512,12
2514,12
2521,12
2522,12
2526,52
2527,12
2528,12
2531,12
2534,12
2544,12
2549,12
2556,12
2564,12
2565,14
2569,12
2572,12
2580,12
2581,12
2583,34
2594,12
2604,34
2610,12
2612,12
2614,12
2617,12
2623,12
2629,12
2630,12
2635,12
2643,12
2650,12
2651,12
2652,12
2657,12
2659,12
2663,12
2665,12
2672,12
2676,12
2678,12
2682,52
2686,12
2687,12
2692,12
2694,12
2697,12
2698,34
2699,12
2703,12
2708,12
2709,12
2710,12
2717,12
2719,12
2723,34
2726,12
2729,12
2734,12
2735,12
2736,12
2738,12
2740,12
2752,12
2756,12
2757,12
2762,12
2764,12
2765,12
2767,12
2771,12
2772,12
2774,4
2779,12
2780,12
2783,12
2788,12
2791,12
2792,12
2794,14
2797,12
2802,34
2803,34
2804,12
2805,12
2808,12
2809,12
2813,11
2815,12
2816,12
2817,14
2822,14
2828,12
2830,12
2834,12
2837,12
2844,12
2850,12
2853,12
2855,12
2862,34
2866,12
2868,12
2875,12
2878,34
2880,12
2882,34
2884,12
2888,12
2891,14
2892,12
2896,34
2897,12
2899,12
2902,12
2905,34
2906,12
2909,14
2911,11
2915,12
2922,12
2930,12
2931,12
2932,12
2940,12
2941,12
2946,12
2948,12
2955,12
2958,12
2979,12
2980,12
2981,4
2983,12
2984,12
2985,12
2986,12
2991,34
2994,12
2997,12
3007,12
3010,12
3016,8
3017,12
3019,12
3026,12
3032,12
3035,12
3038,34
3039,12
3043,12
3045,12
3062,12
3064,12
3066,12
3067,12
3070,12
3072,8
3074,12
3075,12
3078,12
3082,12
3087,52
3088,14
3091,12
3092,12
3096,12
3098,34
3099,12
3106,12
3112,12
3115,12
3116,12
3119,12
3127,12
3131,14
3133,34
3135,12
3137,12
3139,12
3145,12
3146,12
3147,12
3149,12
3154,12
3155,14
3159,12
3161,12
3164,12
3169,12
3172,12
3176,12
3181,12
3186,12
3189,12
3190,11
3191,12
3192,12
3193,12
3196,12
3198,12
3206,12
3207,12
3209,14
3211,12
3213,12
3214,12
3216,12
3219,14
3225,12
3227,12
3231,12
3236,12
3238,12
3239,12
3242,12
3251,12
3252,12
3264,34
3268,12
3270,12
3272,12
3274,12
3275,12
3276,12
3282,12
3285,12
3286,12
3288,12
3291,12
3292,12
3294,12
3299,12
3305,12
3312,34
3315,12
3318,52
3319,12
3321,12
3322,14
3327,12
3329,12
3338,34
3340,12
3345,14
3346,12
3347,12
3349,12
3354,34
3359,12
3360,12
3361,12
3362,12
3363,34
3366,12
3369,12
3372,34
3378,12
3379,34
3380,12
3382,12
3384,12
3391,12
3397,12
3399,12
3401,12
3402,12
3404,12
3407,12
3412,12
3416,12
3418,12
3420,12
3426,12
3427,12
3442,12
3447,12
3453,12
3454,12
3455,12
3458,12
3460,52
3464,12
3465,34
3467,12
3469,12
3478,12
3479,12
3484,12
3485,12
3489,12
3491,12
3494,12
3497,12
3502,12
3509,12
3512,12
3513,12
3515,12
3521,12
3522,34
3523,34
3530,14
3531,12
3537,12
3538,12
3551,34
3553,14
3554,12
3556,12
3562,14
3563,12
3568,12
3571,12
3578,14
3592,11
3595,12
3602,12
3609,12
3610,12
3612,12
3613,66
3616,12
3622,34
3626,12
3630,12
3633,12
3635,12
3638,14
3641,12
3642,12
3646,12
3647,12
3651,12
3653,12
3654,12
3655,34
3661,52
3663,12
3665,12
3666,12
3668,12
3674,12
3679,12
3684,12
3687,12
3688,12
3696,12
3699,12
3701,12
3702,12
3705,12
3706,12
3708,34
3714,12
3716,12
3719,12
3721,12
3725,12
3727,12
3735,12
3739,34
3747,12
3748,12
3749,12
3750,14
3754,34
3756,12
3757,14
3760,12
3764,12
3766,12
3767,12
3769,12
3773,12
3774,12
3775,12
3776,12
3787,12
3790,12
3795,12
3800,12
3804,12
3808,12
3809,12
3815,12
3819,12
3820,52
3824,12
3826,12
3828,34
3833,12
3837,12
3843,12
3846,12
3853,29
3857,14
3858,12
3860,12
3869,12
3871,6
3872,12
3873,12
3880,34
3882,12
3883,34
3890,34
3891,12
3907,14
3908,12
3909,12
3913,12
3935,34
3937,14
3939,12
3944,14
3945,12
3947,12
3949,12
3957,12
3959,12
3961,12
3963,12
3967,12
3970,34
3974,12
3977,12
3980,12
3982,34
3984,12
3988,12
3994,14
3995,12
3996,12
4000,12
4003,12
4006,12
4013,12
4014,12
4016,12
4020,12
4026,34
4027,14
4028,12
4029,12
4030,12
4033,12
4040,12
4041,12
4042,12
4047,12
4053,12
4055,12
4056,12
4057,12
4059,12
4061,12
4062,34
4066,12
4068,34
4078,12
4081,14
4084,12
4092,12
4100,12
4101,12
4105,12
4107,34
4113,12
4118,12
4119,12
4126,12
4128,14
4133,12
4138,12
4141,12
4143,12
4147,12
4152,12
4155,12
4163,12
4171,12
4184,12
4192,14
4193,12
4194,12
4196,14
4206,12
4209,12
4210,12
4214,12
4222,12
4223,14
4224,12
4227,12
4233,12
4239,34
4244,34
4248,12
4250,12
4251,12
4252,12
4253,34
4254,12
4258,14
4263,12
4264,34
4265,34
4268,12
4269,12
4273,12
4280,34
4282,52
4285,12
4287,12
4291,14
4293,12
4302,12
4304,12
4307,12
4311,12
4317,12
4318,34
4319,12
4320,12
4321,12
4323,14
4327,14
4328,12
4331,12
4339,12
4341,34
4342,12
4343,12
4346,12
4359,12
4361,12
4363,14
4364,12
4369,16
4371,12
4372,34
4373,12
4383,34
4390,12
4391,12
4398,12
4400,12
4401,34
4402,12
4404,12
4405,20
4406,34
4407,12
4415,12
4422,12
4423,12
4427,34
4429,12
4434,12
4436,12
4437,34
4441,12
4443,12
4447,12
4450,12
4463,12
4470,12
4474,34
4475,34
4476,12
4478,12
4481,12
4487,12
4490,12
4492,12
4494,14
4497,12
4504,12
4505,12
4508,12
4514,12
4523,12
4527,12
4539,12
4542,12
4544,12
4546,12
4551,12
4553,12
4555,12
4556,34
4560,12
4574,12
4578,12
4579,14
4583,14
4584,12
4585,12
4587,12
4594,12
4595,12
4597,12
4599,12
4606,52
4612,12
4613,12
4616,12
4619,14
4620,12
4626,8
4632,14
4636,12
4640,12
4644,12
4645,12
4647,12
4651,12
4653,12
4665,12
4666,12
4667,12
4669,12
4673,12
4676,12
4677,12
4678,12
4682,12
4687,12
4689,14
4690,12
4692,14
4696,12
4698,34
4703,12
4705,12
4706,12
4707,12
4712,12
4721,12
4722,34
4728,11
4729,12
4732,12
4733,12
4737,12
4740,12
4745,12
4750,34
4751,12
4755,12
4757,12
4758,12
4764,12
4766,12
4769,12
4774,12
4776,14
4780,34
4789,12
4791,12
4797,12
4798,12
4799,34
4801,12
4806,12
4808,12
4810,12
4813,12
4814,12
4815,12
4817,34
4820,12
4821,12
4822,12
4823,11
4826,12
4828,12
4832,12
4833,12
4835,34
4837,12
4838,12
4842,12
4845,12
4847,12
4851,12
4852,12
4853,34
4856,12
4858,12
4861,12
4862,12
4863,12
4865,12
4873,12
4875,12
4878,12
4881,12
4884,12
4885,12
4891,12
4897,12
4902,12
4909,12
4915,12
4920,12
4923,12
4929,12
4931,12
4936,12
4938,12
4941,12
4944,12
4945,6
4948,12
4949,12
4952,14
4955,12
4956,12
4959,34
4967,12
4970,12
4971,12
4972,12
4975,12
4977,12
4979,12
4980,12
4981,12
4985,12
4988,12
4996,12
4998,12
5001,12
5010,12
5011,12
5012,12
5013,12
5014,12
5015,12
5020,12
5024,14
5026,12
5027,55
5031,4
5032,34
5033,14
5040,12
5048,12
5054,12
5055,12
5071,12
5073,12
5080,12
5081,12
5084,12
5086,12
5090,34
5091,52
5092,12
5094,12
5102,12
5104,12
5107,12
5108,12
5112,12
5113,12
5121,12
5122,12
5123,34
5124,12
5126,12
5127,12
5131,34
5134,12
5136,14
5142,12
5143,12
5145,12
5146,12
5147,12
5148,12
5149,12
5151,12
5153,34
5154,12
5159,12
5163,12
5166,12
5168,12
5169,12
5170,26
5172,14
5173,12
5175,12
5176,12
5181,12
5185,11
5187,12
5189,12
5190,12
5195,12
5196,12
5199,12
5200,12
5201,12
5203,12
5205,14
5213,12
5216,12
5222,14
5228,12
5230,12
5231,12
5235,14
5236,14
5251,34
5266,12
5267,12
5268,12
5270,12
5271,12
5272,12
5273,34
5276,12
5278,12
5279,12
5282,14
5288,12
5290,12
5291,12
5292,12
5303,14
5304,14
5308,12
5310,47
5312,34
5317,14
5318,52
5321,12
5322,12
5327,14
5328,12
5331,12
5333,12
5337,12
5338,12
5341,12
5345,12
5346,12
5349,12
5350,52
5353,12
5359,12
5360,12
5362,14
5363,14
5366,34
5367,12
5368,14
5370,12
5372,12
5377,12
5383,12
5387,12
5392,34
5393,12
5395,12
5402,12
5407,12
5413,34
5414,12
5418,14
5432,14
5433,14
5436,12
5437,12
5443,12
5444,12
5447,14
5448,12
5451,53
5452,12
5453,34
5458,12
5459,34
5466,12
5467,14
5468,12
5471,12
5472,12
5473,14
5476,12
5478,14
5481,12
5482,52
5486,26
5487,12
5496,14
5497,12
5498,12
5500,12
5501,12
5502,12
5504,57
5505,12
5512,12
5517,12
5523,12
5525,34
5534,34
5542,12
5544,12
5547,12
5550,12
5555,14
5556,12
5557,12
5558,34
5562,12
5563,12
5564,12
5569,12
5577,12
5578,12
5579,12
5586,12
5607,12
5608,12
5611,12
5613,12
5616,12
5618,34
5621,12
5623,12
5626,12
5631,12
5632,12
5636,34
5638,12
5646,12
5649,14
5652,14
5655,12
5656,34
5658,12
5664,12
5670,14
5672,12
5677,12
5682,12
5690,12
5693,12
5695,34
5705,14
5713,12
5724,4
5725,12
5730,12
5734,52
5736,12
5738,12
5743,12
5747,12
5748,12
5749,12
5751,12
5754,12
5755,12
5761,12
5763,12
5769,12
5770,12
5773,12
5777,12
5779,14
5788,12
5792,12
5795,34
5796,12
5799,12
5800,12
5807,12
5812,12
5815,12
5819,12
5832,12
5833,34
5835,12
5839,14
5843,12
5850,12
5853,12
5856,12
5857,12
5858,52
5861,52
5868,12
5875,12
5882,12
5883,12
5884,12
5889,12
5890,12
5892,12
5897,12
5900,12
5902,12
5906,12
5908,12
5909,12
5914,12
5920,12
5923,52
5924,52
5928,12
5929,12
5930,34
5932,3
5935,12
5937,12
5946,12
5955,12
5959,12
5961,52
5964,12
5965,12
5967,12
5969,12
5971,12
5974,12
5978,52
5981,12
5986,34
5991,12
5992,12
5993,12
5994,12
5995,12
5999,34
6009,12
6011,12
6012,12
6013,12
6021,12
6023,12
6025,12
6027,12
6028,12
6032,12
6043,12
6044,12
6048,12
6050,14
6062,12
6067,12
6069,14
6071,14
6072,34
6078,26
6082,39
6084,12
6085,12
6086,12
6087,12
6088,12
6091,12
6094,34
6096,54
6097,12
6103,12
6110,34
6112,12
6117,12
6121,12
6127,14
6128,12
6131,12
6133,12
6139,11
6143,12
6145,12
6149,12
6150,12
6154,34
6160,12
6161,12
6169,12
6175,12
6176,12
6177,14
6179,34
6180,12
6181,12
6182,12
6186,12
6187,12
6188,52
6193,12
6196,12
6198,12
6199,12
6200,12
6202,12
6210,12
6213,14
6218,12
6220,12
6221,12
6225,14
6227,12
6229,12
6231,12
6232,12
6234,12
6235,12
6239,12
6242,12
6248,12
6250,12
6251,12
6253,11
6254,14
6255,12
6259,34
6265,12
6272,4
6275,12
6277,34
6283,12
6287,12
6288,34
6289,12
6298,12
6299,12
6302,12
6304,12
6315,12
6316,12
6319,12
6323,12
6325,52
6334,12
6344,12
6346,12
6349,12
6357,12
6358,12
6363,12
6369,12
6371,12
6372,12
6374,12
6375,34
6376,14
6384,52
6387,14
6391,12
6393,12
6395,12
6396,12
6397,12
6398,12
6399,6
6401,12
6402,12
6403,12
6404,12
6407,12
6408,12
6412,12
6422,12
6424,12
6425,14
6426,34
6427,12
6440,12
6445,14
6447,14
6458,12
6462,12
6465,12
6467,12
6468,12
6470,12
6472,12
6475,12
6479,12
6483,12
6485,12
6491,34
6505,12
6509,12
6520,34
6529,12
6532,12
6535,12
6537,12
6538,12
6541,14
6542,12
6553,12
6556,12
6557,12
6561,12
6569,12
6573,12
6575,12
6577,12
6581,12
6583,12
6585,12
6588,12
6589,12
6590,12
6592,26
6593,12
6594,12
6597,12
6598,12
6602,12
6603,12
6610,34
6612,12
6620,12
6626,12
6628,12
6630,34
6631,12
6632,12
6642,12
6643,12
6644,12
6648,12
6655,12
6657,12
6660,34
6661,12
6665,12
6667,12
6670,12
6673,12
6675,12
6676,12
6677,12
6678,34
6679,12
6686,12
6688,12
6693,12
6695,12
6696,12
6698,12
6699,12
6701,39
6704,12
6707,12
6709,12
6714,12
6718,12
6720,12
6722,12
6724,12
6728,12
6729,12
6732,12
6738,12
6740,12
6741,12
6747,12
6749,12
6751,12
6752,12
6758,12
6763,12
6768,12
6769,12
6772,12
6773,34
6776,14
6780,34
6782,12
6784,12
6786,12
6787,14
6788,12
6791,12
6794,12
6795,12
6797,12
6805,12
6806,12
6808,12
6810,34
6811,12
6814,12
6815,12
6816,12
6818,14
6823,12
6826,11
6827,16
6828,14
6829,34
6836,12
6838,34
6840,12
6841,12
6845,12
6851,12
6852,12
6853,12
6854,12
6855,12
6858,12
6863,12
6864,12
6865,12
6866,12
6869,12
6870,12
6877,12
6879,12
6883,34
6884,12
6886,12
6888,12
6891,12
6900,12
6904,12
6910,12
6912,14
6914,12
6915,12
6918,12
6919,12
6923,12
6926,12
6928,12
6930,12
6933,12
6939,12
6943,12
6944,33
6946,12
6947,12
6948,12
6951,12
6953,34
6955,12
6956,14
6962,12
6963,12
6964,14
6965,12
6969,12
6970,12
6974,12
6976,34
6977,34
6980,12
6981,12
6985,12
6987,34
6988,12
6998,12
7006,12
7009,12
7011,12
7012,12
7013,34
7017,12
7019,34
7021,54
7022,12
7025,14
7026,30
7039,12
7040,12
7051,14
7052,12
7054,12
7055,12
7057,12
7060,14
7063,34
7065,12
7070,12
7075,12
7076,12
7079,12
7080,12
7081,12
7085,12
7087,12
7088,34
7090,12
7093,34
7098,12
7100,12
7102,12
7103,12
7106,12
7108,12
7109,12
7110,12
7111,12
7115,12
7117,12
7118,52
7121,12
7124,12
7127,12
7129,12
7131,12
7133,34
7134,12
7135,12
7140,12
7144,12
7147,12
7150,12
7153,12
7161,12
7167,12
7168,12
7169,12
7171,14
7173,34
7177,12
7186,12
7188,18
7190,12
7192,12
7196,14
7203,34
7205,12
7206,12
7213,12
7214,12
7216,12
7220,12
7221,12
7223,12
7224,34
7228,12
7231,12
7236,12
7242,6
7243,12
7244,12
7246,12
7256,12
7257,12
7262,12
7267,12
7270,12
7271,12
7274,12
7279,12
7284,12
7286,34
7287,34
7289,12
7298,38
7302,12
7304,12
7309,12
7310,12
7311,12
7312,12
7313,14
7316,12
7317,34
7318,12
7319,12
7320,12
7324,12
7328,12
7329,14
7334,12
7335,12
7336,12
7337,12
7344,14
7347,12
7351,12
7356,12
7358,12
7359,12
7360,12
7363,12
7369,12
7380,34
7385,12
7390,12
7398,12
7399,12
7404,12
7405,52
7418,12
7419,12
7420,4
7422,12
7424,12
7426,12
7433,12
7437,52
7438,12
7443,12
7445,52
7446,12
7450,12
7451,12
7454,14
7458,12
7459,14
7460,12
7463,12
7478,12
7482,12
7487,12
7488,12
7489,12
7492,12
7493,34
7504,12
7507,12
7512,12
7515,12
7519,12
7520,12
7523,12
7524,12
7527,52
7531,12
7535,12
7538,12
7541,12
7542,12
7546,12
7547,12
7551,12
7554,12
7556,12
7560,12
7566,12
7569,14
7571,12
7573,12
7576,12
7579,14
7580,14
7581,14
7582,34
7585,12
7586,12
7592,34
7597,12
7605,34
7607,12
7610,12
7611,12
7612,12
7613,12
7614,52
7615,12
7616,12
7617,12
7618,12
7619,12
7622,12
7625,12
7627,12
7629,12
7635,12
7637,34
7638,12
7641,12
7644,12
7646,12
7648,12
7649,12
7650,12
7654,14
7664,14
7665,12
7666,12
7671,12
7683,12
7689,34
7701,12
7705,12
7706,14
7714,12
7716,12
7717,26
7722,12
7724,12
7726,12
7734,12
7755,12
7765,12
7768,12
7773,6
7775,12
7784,12
7786,12
7797,12
7799,12
7804,12
7809,34
7811,12
7812,12
7815,12
7817,12
7819,12
7821,6
7826,12
7828,34
7831,12
7834,26
7845,14
7848,34
7850,34
7851,12
7857,34
7858,12
7868,52
7877,12
7879,34
7881,12
7883,34
7886,12
7889,12
7894,12
7895,34
7904,12
7906,12
7908,12
7911,12
7913,14
7921,12
7922,12
7927,12
7928,52
7929,12
7931,12
7936,12
7939,12
7944,12
7949,12
7951,12
7953,12
7961,12
7962,12
7971,12
7985,12
7989,34
8003,12
8004,12
8005,12
8006,12
8009,12
8011,12
8016,12
8018,12
8020,12
8021,12
8023,12
8030,12
8031,12
8033,12
8034,12
8039,12
8040,12
8042,12
8051,12
8052,12
8060,12
8061,12
8063,12
8069,12
8070,12
8072,12
8074,12
8075,12
8076,12
8083,12
8085,12
8096,34
8099,12
8102,12
8106,12
8109,12
8113,4
8117,12
8118,12
8121,12
8123,12
8128,14
8133,12
8142,12
8144,12
8145,12
8147,14
8148,12
8149,12
8151,12
8152,12
8156,34
8157,12
8158,12
8161,12
8164,12
8165,12
8170,12
8171,12
8173,12
8174,12
8178,12
8181,34
8182,11
8183,12
8186,12
8187,12
8196,34
8198,12
8202,12
8217,12
8218,12
8219,12
8220,14
8223,12
8224,12
8226,12
8227,12
8229,12
8234,34
8237,12
8241,12
8245,12
8248,12
8250,12
8251,34
8253,12
8254,12
8260,14
8263,12
8268,12
8271,14
8272,12
8273,12
8275,12
8288,12
8294,12
8309,14
8319,12
8320,12
8325,12
8333,12
8336,12
8337,12
8341,12
8344,12
8349,34
8351,12
8354,12
8355,12
8356,12
8359,12
8362,12
8366,12
8367,12
8370,14
8371,12
8383,12
8386,12
8389,12
8393,12
8396,12
8398,12
8400,12
8405,12
8406,14
8408,52
8412,12
8414,34
8415,12
8416,34
8418,12
8429,12
8438,12
8442,12
8443,12
8445,12
8447,14
8449,34
8450,12
8454,12
8456,12
8461,12
8462,12
8466,12
8468,12
8476,34
8483,12
8484,12
8488,12
8491,34
8496,12
8497,14
8499,12
8504,12
8511,12
8512,12
8514,12
8521,12
8522,12
8523,12
8530,12
8532,14
8538,14
8541,12
8542,12
8543,34
8545,12
8547,12
8548,34
8549,12
8550,14
8552,12
8558,12
8562,14
8566,12
8569,12
8572,26
8573,12
8574,6
8576,12
8577,12
8578,12
8581,12
8582,12
8588,12
8589,12
8590,14
8593,12
8597,34
8600,12
8601,12
8602,12
8603,12
8605,14
8609,12
8611,12
8613,12
8614,12
8616,12
8623,34
8626,12
8628,12
8632,12
8633,12
8636,12
8637,12
8639,12
8642,14
8648,34
8650,12
8651,12
8652,12
8670,12
8671,12
8673,12
8674,12
8675,12
8678,12
8683,14
8684,12
8687,12
8689,12
8692,12
8695,12
8697,12
8698,12
8701,12
8704,34
8712,12
8715,12
8716,12
8717,14
8719,12
8720,12
8721,12
8731,12
8733,12
8735,12
8740,12
8742,12
8745,12
8747,12
8749,39
8755,12
8757,12
8759,12
8763,12
8765,12
8771,12
8779,12
8780,12
8782,12
8787,12
8788,12
8789,52
8793,12
8794,12
8795,12
8797,34
8803,12
8812,12
8815,12
8825,12
8826,12
8830,12
8831,12
8834,52
8839,12
8840,12
8844,12
8852,12
8854,12
8858,14
8860,12
8867,12
8871,12
8872,34
8875,12
8876,4
8878,12
8880,34
8886,12
8890,12
8894,14
8898,14
8903,12
8904,12
8905,12
8909,12
8910,12
8911,12
8912,12
8921,12
8927,12
8928,12
8931,12
8935,12
8938,12
8939,12
8942,12
8944,12
8946,12
8949,12
8950,12
8952,12
8956,12
8962,12
8965,12
8971,14
8974,12
8976,12
8977,12
8978,12
8979,12
8981,12
8983,12
8986,34
8991,12
8992,12
8998,12
8999,12
9008,12
9010,12
9012,12
9015,12
9016,12
9019,12
9021,12
9025,14
9027,14
9028,12
9030,12
9035,12
9037,34
9039,12
9041,12
9043,12
9046,12
9050,12
9052,12
9057,12
9060,12
9063,12
9064,4
9068,14
9069,12
9076,12
9081,12
9084,14
9090,12
9093,14
9095,34
9102,12
9103,12
9109,12
9110,12
9111,12
9113,12
9114,12
9116,34
9127,12
9132,14
9138,12
9145,12
9146,12
9148,12
9153,12
9154,12
9155,12
9157,12
9158,12
9159,12
9162,12
9164,12
9165,12
9174,12
9185,12
9187,12
9191,12
9194,14
9195,12
9206,12
9207,12
9209,12
9212,14
9214,12
9223,14
9227,12
9228,12
9230,34
9231,12
9236,12
9238,12
9239,12
9246,12
9254,12
9261,12
9263,12
9264,34
9267,12
9277,12
9278,12
9279,4
9281,12
9283,12
9284,14
9285,12
9286,34
9287,14
9290,34
9292,12
9293,14
9295,12
9300,12
9304,12
9309,12
9313,12
9317,34
9318,12
9326,12
9332,34
9334,12
9343,12
9348,12
9359,12
9361,12
9363,12
9365,12
9366,12
9367,12
9368,12
9369,12
9370,14
9372,12
9373,52
9374,12
9377,12
9378,12
9379,14
9380,12
9382,12
9383,14
9385,12
9386,12
9388,12
9394,12
9395,12
9396,12
9398,12
9403,12
9404,12
9408,34
9409,34
9414,14
9418,12
9422,12
9424,14
9425,52
9427,12
9430,12
